,,タイトル1,タイトル1内リンク文字1,リンク先,タイトル1内リンク文字2,リンク先,タイトル2,開催日,対象,申込受付状況,詳細(PDF名)
1,24_50,"●　「パソコンスキルアップセミナー」
 　　　　　　（パソコン操作・ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,①パソコン操作,"10/10(水)
13：30-16：30","求職者
就業者",終了,20120913pasokonskil.pdf
1,24_51,"●　「パソコンスキルアップセミナー」
 　　　　　　（パソコン操作・ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,②ワード基礎,"10/11(木)
13：30-16：30","求職者
就業者",終了,20120913pasokonskil.pdf
1,24_52,"●　「パソコンスキルアップセミナー」
 　　　　　　（パソコン操作・ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,③ワード中級,"10/16(火)
18：30-21：30","求職者
就業者",終了,20120913pasokonskil.pdf
1,24_53,"●　「パソコンスキルアップセミナー」
 　　　　　　（パソコン操作・ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,"④エクセル基礎
※④⑤は同じ内容です。","10/17(水)
18：30-21：30","求職者
就業者",終了,20120913pasokonskil.pdf
1,24_54,"●　「パソコンスキルアップセミナー」
 　　　　　　（パソコン操作・ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,"⑤エクセル基礎
※④⑤は同じ内容です。","10/18（木）
13：30-16：30","求職者
就業者",終了,20120913pasokonskil.pdf
1,24_55,"●　「パソコンスキルアップセミナー」
 　　　　　　（パソコン操作・ワード・エクセル）
講師：ランネット
会場：落合公民館　視聴覚室",ランネット,http://www.lannet-inc.co.jp/,,,⑥エクセル中級,"10/19（金）
18：30-21：30","求職者
就業者",終了,20120913pasokonskil.pdf
1,24_56,"●　恵み豊かな真庭の未来を考える
　　　　　　　　　　　　　　　　　　～ワークショップ～
講師：山崎亮氏（コミュニティデザイナー）
会場：久世エスパス会議室",山崎亮氏,http://www.studio-l.org/,,,"①ワークショップ
内容：若者の活動が芽生えつつある真庭で、どう資源を見つけて、活かしていくかをいっしょに考える。","10/3（水）
15：30-17：00","事業主
",終了,20120913wa-kusyoppu.pdf
1,24_57,"●　恵み豊かな真庭の未来を考える
　　　　　　　　　　　　　　　　　　～ワークショップ～
講師：山崎亮氏（コミュニティデザイナー）
会場：久世エスパス会議室",山崎亮氏,http://www.studio-l.org/,,,②講演会,"10/4（木）
13：00-15：00","事業主
",終了,20120913wa-kusyoppu.pdf
1,24_58,"◆　おかやまＩＪＵターン
　合同就職面接会（東京会場）
岡山県市町村の暮らしや移住に関する相談会
会場：都道府県会館１０１大会議室
http://iju-turn.jp/iju-tokyo.html",http://iju-turn.jp/iju-tokyo.html,http://iju-turn.jp/iju-tokyo.html,,,,"11/2（金）
13：00-16：00","関心が
ある方",終了,
1,24_59,"●　売上づくりの鉄則を学ぶ チラシセミナー
講師：渋谷雄大氏（ジャイロ総合コンサルティング　売らない販促コンサルタント　中小企業診断士）
会場：真庭市市民活動支援プラザ",渋谷雄大氏,http://ameblo.jp/kukkin999/,ジャイロ総合コンサルティング,http://jairo.co.jp/,"①チラシ戦略の基本を学ぶ
　　　　～売らないチラシが売上を作る～","9/19（水）
10：00-12：00","求職者
","終了
",0830tirashi.pdf
1,24_60,"●　売上づくりの鉄則を学ぶ チラシセミナー
講師：渋谷雄大氏（ジャイロ総合コンサルティング　売らない販促コンサルタント　中小企業診断士）
会場：真庭市市民活動支援プラザ",渋谷雄大氏,http://ameblo.jp/kukkin999/,ジャイロ総合コンサルティング,http://jairo.co.jp/,"②チラシ作成の実務を学ぶ
　　　　～チラシ戦略を実践する～","9/19（水）
13：00-16:00","求職者
","終了
",0830tirashi.pdf
1,24_61,"●　観光資源魅力アップまちづくりセミナー
　　　　「足元の宝を生かして暮らしを楽しむ」
講師：松場登美氏
（石見銀山生活文化研究所　代表取締役所長）
会場：勝山文化往来館ひしお（ひしおホール）",松場登美氏,http://www.gungendo.co.jp/iwamiginzan/tomi/index.html,,,,"9/23（日）
14：00～","事業主
","終了
",0830katyuyama.pdf
1,24_62,"●　営業能力スキルアップセミナー
　～自信を持って話をするための基礎知識～
講師：山岡哲也氏
 　　　　　　（カイロスビジネスデザインワークス）
 会場：真庭エスパス",山岡哲也氏,http://www.kairos-bdw.com/seminar.html,,,,"9/25（火）
13：30-16：30","事業主
",終了,0830eigyousukiru.pdf
1,24_63,"●　心で創るおもてなし料理講座
 　　　　　　　　　　～地域食材活用セミナー～
講師：有坂翔太氏（フードアーティスト）
会場：真庭市久世公民館２階調理室",有坂翔太氏,http://ameblo.jp/shota-arisaka/,,,,"10/5（金）
10：00-14：00","求職者
",終了,0830omotenashi.pdf
1,24_64,"◆　合同就職面接会 （津山圏域）
おおむね４５歳までの求職者の方を対象に、中途採用を予定している企業との合同就職面接会を開催致します。
会場：津山圏域雇用労働センター　
 　　　　　　　　　　　　２階大ホール",,,,,,"9/7（金）
13：00-15：00",求職者,終了,20120907mensetsu.pdf
