,,タイトル1,タイトル1内リンク文字1,リンク先,タイトル1内リンク文字2,リンク先,タイトル1内リンク文字3,リンク先,タイトル2,タイトル2内リンク文字1,リンク先,タイトル2内リンク文字2,リンク先,開催日,対象,申込受付状況,詳細
1,23_40,"●　ソーシャルメディア活用セミナー
会場：休暇村・蒜山高原
講師：森谷真也氏（ドットリファイン）",ドットリファイン,http://dotrefine.com/,,,,,,,,,,"10/18（月）
14:30-17:00","事業主
就業者
求職者","終了
",23-hiruzensns.pdf
1,23_41,"●　有機栽培セミナー（後期）
講師：小祝政明氏（ジャパンバイオファーム）",小祝政明氏（ジャパンバイオファーム）,http://www.japanbiofarm.com/,,,,,①　ミネラル肥料の使い分けと施肥設計,,,,,"10/16(日)
10:00-17:00","事業主
就業者
求職者","終了
",23-yuukikouki.pdf
1,23_42,"●　有機栽培セミナー（後期）
講師：小祝政明氏（ジャパンバイオファーム）",小祝政明氏（ジャパンバイオファーム）,http://www.japanbiofarm.com/,,,,,"②　堆肥作りと施肥設計の基礎、
 　　 良質堆肥の見分け方　",,,,,"11/5(土)
10:00-17:00","事業主
就業者
求職者","終了
",23-yuukikouki.pdf
1,23_43,"●　有機栽培セミナー（後期）
講師：小祝政明氏（ジャパンバイオファーム）",小祝政明氏（ジャパンバイオファーム）,http://www.japanbiofarm.com/,,,,,③　有機肥料の選び方と使い方、施肥設計,,,,,"12/17(土)
10:00-17:00","事業主
就業者
求職者","終了
",23-yuukikouki.pdf
1,23_44,"●　販売力向上セミナー
会場：久世公民館",,,,,,,"①　暮らしと食のコーディネート力で地方の魅力を全国に発信！
講師：久保陽子氏
（Air.+代表 Food&Life Director)",Air.,http://www.air-plus.jp/,,,"9/21(水)
15:00-17:00","求職者
就業者
事業主","終了
",23-hanbairyoku1-2.pdf
1,23_45,"●　販売力向上セミナー
会場：久世公民館",,,,,,,"②接客力・営業力向上セミナー
講師：大原章道氏
（株式会社キーロジ社長　中小企業診断士）",大原章道氏,http://wasedals.cocolog-nifty.com/,,,"9/28(水)
15:00-17:00","求職者
就業者
事業主","終了
",23-hanbairyoku1-2.pdf
1,23_46,"●　観光資源開発セミナー2011　プランナー育成コース
会場：勝山文化センター",,,,,,,"①　観光ビジネス最新動向、プログラム開発 他
講師：石村隆男氏（大山王国理事長）",大山王国,http://www.daisenking.net/,,,"9/2(金)
13:30-16:00","求職者
就業者
事業主","終了
",23-planner.pdf
1,23_47,"●　観光資源開発セミナー2011　プランナー育成コース
会場：勝山文化センター",,,,,,,"②　写真撮影の基本・取材実践　他
講師：柄木孝志氏（大山王国理事・JAPRO）",大山王国,http://www.daisenking.net/,JAPRO,http://www.japro.net/,"9/7(水)
13:30-16:00","求職者
就業者
事業主","終了
",23-planner.pdf
1,23_48,"●　観光資源開発セミナー2011　プランナー育成コース
会場：勝山文化センター",,,,,,,"③　ブログ実践（前日の取材UP）　他
講師：柄木孝志氏（大山王国理事・JAPRO）",大山王国,http://www.daisenking.net/,JAPRO,http://www.japro.net/,"9/8(木)
13:30-16:00","求職者
就業者
事業主","終了
",23-planner.pdf
1,23_49,"●　観光資源開発セミナー2011　プランナー育成コース
会場：勝山文化センター",,,,,,,"④　スマートフォンなどによる観光情報発信　他
講師：幸形ノブユキ氏
 　　　（大山王国副理事長・JAPRO)",大山王国,http://www.daisenking.net/,,,"9/14(水)
13:30-16:00","求職者
就業者
事業主","終了
",23-planner.pdf
1,23_50,"●　ソーシャルメディア活用セミナー
　　（実践）
会場：落合公民館　研修室
講師：森谷真也氏（ドットリファイン）",ドットリファイン,http://dotrefine.com/,,,,,①　入門編,,,,,"8/29(月)
16:00-18:00","求職者
就業者
事業主","終了
",23-socialmediajissen.pdf
1,23_51,"●　ソーシャルメディア活用セミナー
　　（実践）
会場：落合公民館　研修室
講師：森谷真也氏（ドットリファイン）",ドットリファイン,http://dotrefine.com/,,,,,②　応用編,,,,,"8/29(月)
19:30-21:30","求職者
就業者
事業主","終了
",23-socialmediajissen.pdf
1,23_52,"●　ソーシャルメディア活用セミナー
　　（基礎）
会場：久世エスパス　会議室
講師：森谷真也氏（ドットリファイン）",ドットリファイン,http://dotrefine.com/,,,,,,,,,,"8/8（月）
19:30-21:30","求職者
就業者
事業主","終了
",23-socialmediakiso.pdf
1,23_53,"● ITスキルアップセミナー　(基礎５種）
会場：勝山文化センター　研修室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,①　パソコン操作、インターネット基礎,,,,,"8/2(火)
9:30-12:30",求職者,"終了
",23-skill8.pdf
1,23_54,"● ITスキルアップセミナー　(基礎５種）
会場：勝山文化センター　研修室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,②　ワード基礎,,,,,"8/3(水)
18:30-21:30",求職者,"終了
",23-skill8.pdf
1,23_55,"● ITスキルアップセミナー　(基礎５種）
会場：勝山文化センター　研修室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,③　エクセル基礎,,,,,"8/5(金)
18:30-21:30",求職者,"終了
",23-skill8.pdf
1,23_56,"● ITスキルアップセミナー　(基礎５種）
会場：勝山文化センター　研修室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,"④　ホームページ制作の基礎
※ホームページ基礎は同じ内容です。",,,,,"8/9(火)
18:30-21:30",求職者,"終了
",23-skill8.pdf
1,23_57,"● ITスキルアップセミナー　(基礎５種）
会場：勝山文化センター　研修室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,"⑤　ホームページ制作の基礎
※ホームページ基礎は同じ内容です。",,,,,"8/10(水)
9:30-12:30",求職者,"終了
",23-skill8.pdf
1,23_58,"● ITスキルアップセミナー　(基礎５種）
会場：勝山文化センター　研修室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,⑥　コンテンツ制作の基礎,,,,,"8/11(木)
9:30-12:30",求職者,"終了
",23-skill8.pdf
1,23_59,"● 　接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）",キャリアプランニング,http://www.capla.co.jp/,,,,,"①　ビジネス・マナー
会場：白梅総合体育館　会議室",,,,,"7/25(月)
13:00-15:30","求職者
就業者
事業主","終了
",
1,23_60,"● 　接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）",キャリアプランニング,http://www.capla.co.jp/,,,,,"②　ホスピタリティ・マインド
会場：木材ふれあい会館　会議室　（午後)
 　　　　※午後と夜は同じ内容です。",,,,,"8/4(木)
13:00-15:30","求職者
就業者
事業主","終了
",
1,23_61,"● 　接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）",キャリアプランニング,http://www.capla.co.jp/,,,,,"②　ホスピタリティ・マインド
会場：久世エスパス　ギャラリー（夜）
 　　　　※午後と夜は同じ内容です。",,,,,"8/4(木)
18:30-21:00","求職者
就業者
事業主","終了
",
